biomarker,n,events,hr,lcl,ucl,p_value,model,biomarker_label
z_log_crp1,6733,482,1.3100264941954922,1.192051160215337,1.4396776520767076,2.0410711093093547e-8,Model 1,CRP (log-z)
z_log_ddimer1,6740,483,1.263744496993649,1.1496391021759416,1.3891752208662416,1.2461108656619755e-6,Model 1,D-dimer (log-z)
z_fib1,6738,483,1.2438330930810226,1.1396074874138242,1.3575909078611557,1.0250698052176587e-6,Model 1,Fibrinogen (z)
z_log_il61,6593,474,1.384840169027186,1.2623361210373287,1.5192326843783108,5.5885706199208605e-12,Model 1,IL-6 (log-z)
z_log_crp1,6634,475,1.167623129185003,1.0533717956847688,1.2942664474147085,0.0031814470812158045,Model 2,CRP (log-z)
z_log_ddimer1,6639,476,1.2033800606621354,1.0916282234872718,1.3265721234039618,1.968831000613472e-4,Model 2,D-dimer (log-z)
z_fib1,6637,476,1.1327164005170338,1.030901940963797,1.2445863112845987,0.009506200850833204,Model 2,Fibrinogen (z)
z_log_il61,6495,467,1.240320754506698,1.1186980713203314,1.3751660197683095,4.31169678578874e-5,Model 2,IL-6 (log-z)
z_log_crp1,6373,454,1.1472881787005484,1.032187290835537,1.275224154252592,0.010856530349421804,Model 3,CRP (log-z)
z_log_ddimer1,6377,455,1.1777189034313202,1.0658378238571389,1.301344148662323,0.0013184396682138074,Model 3,D-dimer (log-z)
z_fib1,6375,455,1.140031930057646,1.0347373677716265,1.2560412352265684,0.008035000928123863,Model 3,Fibrinogen (z)
z_log_il61,6245,448,1.2111218278001805,1.088584361079661,1.3474528334388873,4.3230089216560994e-4,Model 3,IL-6 (log-z)
z_log_crp1,6373,454,1.1472881787005484,1.032187290835537,1.275224154252592,0.010856530349421804,Model 4,CRP (log-z)
z_log_ddimer1,6377,455,1.1777189034313202,1.0658378238571389,1.301344148662323,0.0013184396682138074,Model 4,D-dimer (log-z)
z_fib1,6375,455,1.140031930057646,1.0347373677716265,1.2560412352265684,0.008035000928123863,Model 4,Fibrinogen (z)
z_log_il61,6245,448,1.2111218278001805,1.088584361079661,1.3474528334388873,4.3230089216560994e-4,Model 4,IL-6 (log-z)
