model,biomarker,n,events,HR (95% CI),Wald P
Model 1,CRP (log-z),6733,482,"1.31 (1.19, 1.44)",2.04e-08
Model 1,D-dimer (log-z),6740,483,"1.26 (1.15, 1.39)",1.25e-06
Model 1,Fibrinogen (z),6738,483,"1.24 (1.14, 1.36)",1.03e-06
Model 1,IL-6 (log-z),6593,474,"1.38 (1.26, 1.52)",5.59e-12
Model 2,CRP (log-z),6634,475,"1.17 (1.05, 1.29)",0.00318
Model 2,D-dimer (log-z),6639,476,"1.20 (1.09, 1.33)",0.000197
Model 2,Fibrinogen (z),6637,476,"1.13 (1.03, 1.24)",0.00951
Model 2,IL-6 (log-z),6495,467,"1.24 (1.12, 1.38)",4.31e-05
Model 3,CRP (log-z),6373,454,"1.15 (1.03, 1.28)",0.0109
Model 3,D-dimer (log-z),6377,455,"1.18 (1.07, 1.30)",0.00132
Model 3,Fibrinogen (z),6375,455,"1.14 (1.03, 1.26)",0.00804
Model 3,IL-6 (log-z),6245,448,"1.21 (1.09, 1.35)",0.000432
Model 4,CRP (log-z),6373,454,"1.15 (1.03, 1.28)",0.0109
Model 4,D-dimer (log-z),6377,455,"1.18 (1.07, 1.30)",0.00132
Model 4,Fibrinogen (z),6375,455,"1.14 (1.03, 1.26)",0.00804
Model 4,IL-6 (log-z),6245,448,"1.21 (1.09, 1.35)",0.000432
