race_eth,race_label,biomarker,n_non_missing,median,q1,q3,biomarker_label,median_iqr
1,White,z_fib1,2600,-0.2678973467041622,-0.8223264137037348,0.34400302602097593,Fibrinogen (z),"-0.27 (-0.82, 0.34)"
2,Chinese American,z_fib1,801,-0.3219879873870473,-0.8088037535330135,0.2459637397832466,Fibrinogen (z),"-0.32 (-0.81, 0.25)"
3,Black,z_fib1,1853,0.0836918177345912,-0.5789185306307517,0.8003928067828192,Fibrinogen (z),"0.08 (-0.58, 0.80)"
4,Hispanic,z_fib1,1484,0.05664649739314863,-0.5383505501185879,0.7327795059292128,Fibrinogen (z),"0.06 (-0.54, 0.73)"
1,White,z_log_crp1,2596,-0.11281412247051098,-0.808112328937777,0.6205221532199126,CRP (log-z),"-0.11 (-0.81, 0.62)"
2,Chinese American,z_log_crp1,799,-0.7063889758336428,-1.2069638193383108,-0.09054341176984151,CRP (log-z),"-0.71 (-1.21, -0.09)"
3,Black,z_log_crp1,1853,0.2158225178330579,-0.5238837791768847,0.9398614978260974,CRP (log-z),"0.22 (-0.52, 0.94)"
4,Hispanic,z_log_crp1,1485,0.1874544925156107,-0.47036975211211646,0.8060731533794251,CRP (log-z),"0.19 (-0.47, 0.81)"
1,White,z_log_ddimer1,2599,-0.1327480496309635,-0.598661501093673,0.4796894818735703,D-dimer (log-z),"-0.13 (-0.60, 0.48)"
2,Chinese American,z_log_ddimer1,801,-0.24724151617382406,-0.8789605337979582,0.3103753726253959,D-dimer (log-z),"-0.25 (-0.88, 0.31)"
3,Black,z_log_ddimer1,1853,0.11067714429101969,-0.44457800294823563,0.7317059966742965,D-dimer (log-z),"0.11 (-0.44, 0.73)"
4,Hispanic,z_log_ddimer1,1487,0.019579019749997654,-0.598661501093673,0.6535366525908992,D-dimer (log-z),"0.02 (-0.60, 0.65)"
1,White,z_log_il61,2559,-0.16717943999192347,-0.8067252352073639,0.5057131121230216,IL-6 (log-z),"-0.17 (-0.81, 0.51)"
2,Chinese American,z_log_il61,791,-0.5589674240967866,-1.0854070778295526,0.06897734646519733,IL-6 (log-z),"-0.56 (-1.09, 0.07)"
3,Black,z_log_il61,1793,0.1084291446747521,-0.5092270619609675,0.7983006446183473,IL-6 (log-z),"0.11 (-0.51, 0.80)"
4,Hispanic,z_log_il61,1450,0.14827900003776712,-0.4727854987211798,0.8091188841121074,IL-6 (log-z),"0.15 (-0.47, 0.81)"
