biomarker,biomarker_label,race_level,race_label,n,events,hr,lcl,ucl,wald_p,contrast_p_vs_ref
z_log_crp1,CRP (log-z),1,White,6304,448,1.162370036413448,0.9921463978839863,1.3617991300813932,0.06255091577762857,NA
z_log_crp1,CRP (log-z),2,Chinese American,6304,448,1.1395850334518913,0.7591788595200242,1.710603545110037,0.5283686086441601,0.9287629188836124
z_log_crp1,CRP (log-z),3,Black,6304,448,1.1151114112617013,0.9348393117317885,1.3301467363653445,0.22588469682508036,0.722447628235531
z_log_crp1,CRP (log-z),4,Hispanic,6304,448,1.127833153032755,0.9003677177833489,1.4127645804665365,0.2952159340956821,0.8262732506218191
z_log_ddimer1,D-dimer (log-z),1,White,6309,449,1.277142171590796,1.0992458340972757,1.4838283447261296,0.0013917271268626295,NA
z_log_ddimer1,D-dimer (log-z),2,Chinese American,6309,449,1.2467539504084235,0.9004820970308093,1.7261813621663014,0.18400774226083577,0.8944771846444887
z_log_ddimer1,D-dimer (log-z),3,Black,6309,449,1.100273610247095,0.9222583985644465,1.3126494909567152,0.28859350303778075,0.19844140543701855
z_log_ddimer1,D-dimer (log-z),4,Hispanic,6309,449,1.0699926053326987,0.8662613391502655,1.3216383136637473,0.5301634509723414,0.1712146624249053
z_fib1,Fibrinogen (z),1,White,6306,449,1.124111977451031,0.9646096516988016,1.3099886940001655,0.13401250963509906,NA
z_fib1,Fibrinogen (z),2,Chinese American,6306,449,1.259317252770579,0.8303657851943845,1.9098570430071269,0.27786778138514945,0.6150877994000326
z_fib1,Fibrinogen (z),3,Black,6306,449,1.0829627121770469,0.9219372784245861,1.2721128252563665,0.3318578980889849,0.7343870489604402
z_fib1,Fibrinogen (z),4,Hispanic,6306,449,1.1740187602131698,0.9763055790237581,1.4117711492652723,0.08817494739273737,0.7167386830687011
z_log_il61,IL-6 (log-z),1,White,6178,442,1.2032468755974486,1.0295678325637514,1.4062240464815348,0.020000654957293234,NA
z_log_il61,IL-6 (log-z),2,Chinese American,6178,442,1.0176747009008846,0.6892757863453434,1.5025361653061382,0.9297718445291654,0.43078606243440987
z_log_il61,IL-6 (log-z),3,Black,6178,442,1.1131545422623401,0.9190737549960729,1.3482193656640478,0.2727935834458242,0.524366886256993
z_log_il61,IL-6 (log-z),4,Hispanic,6178,442,1.3975326279831546,1.1241975405244917,1.7373258487705725,0.0025762151557318174,0.25864212900395805
