race_eth,race_label,biomarker,n,n_missing,pct_missing,n_non_missing,biomarker_label
1,White,z_fib1,2613,13,0.4975124378109453,2600,Fibrinogen (z)
2,Chinese American,z_fib1,801,0,0,801,Fibrinogen (z)
3,Black,z_fib1,1880,27,1.4361702127659575,1853,Fibrinogen (z)
4,Hispanic,z_fib1,1491,7,0.4694835680751174,1484,Fibrinogen (z)
1,White,z_log_crp1,2613,17,0.6505931879066208,2596,CRP (log-z)
2,Chinese American,z_log_crp1,801,2,0.24968789013732834,799,CRP (log-z)
3,Black,z_log_crp1,1880,27,1.4361702127659575,1853,CRP (log-z)
4,Hispanic,z_log_crp1,1491,6,0.4024144869215292,1485,CRP (log-z)
1,White,z_log_ddimer1,2613,14,0.5357826253348641,2599,D-dimer (log-z)
2,Chinese American,z_log_ddimer1,801,0,0,801,D-dimer (log-z)
3,Black,z_log_ddimer1,1880,27,1.4361702127659575,1853,D-dimer (log-z)
4,Hispanic,z_log_ddimer1,1491,4,0.2682763246143528,1487,D-dimer (log-z)
1,White,z_log_il61,2613,54,2.0665901262916186,2559,IL-6 (log-z)
2,Chinese American,z_log_il61,801,10,1.2484394506866416,791,IL-6 (log-z)
3,Black,z_log_il61,1880,87,4.627659574468085,1793,IL-6 (log-z)
4,Hispanic,z_log_il61,1491,41,2.749832327297116,1450,IL-6 (log-z)
