model,n,events,log_hr_black_vs_white,hr_black_vs_white,lcl,ucl,p_value,pct_excess_risk_explained,hr_ci,p_value_fmt,analysis
Clinical only,4151,319,-0.09414318504644917,0.9101524326920175,0.6849478315506283,1.2094022531027862,0.5162783492025075,-0,"0.91 (0.68, 1.21)",0.516,Exam 1
Clinical + CRP (log-z),4127,317,-0.11205116948895284,0.8939985108830253,0.6712965126081366,1.1905816914732164,0.443338910717629,-19.022071999867098,"0.89 (0.67, 1.19)",0.443,Exam 1
Clinical + IL-6 (log-z),4043,312,-0.10704712279377127,0.8984833329479174,0.6734902532698999,1.1986399144839375,0.46666945823225775,-13.70671466124228,"0.90 (0.67, 1.20)",0.467,Exam 1
Clinical + Fibrinogen (z),4130,318,-0.11806461308873076,0.888638633072762,0.667616452417802,1.1828327737124684,0.41842034940440714,-25.40962261950138,"0.89 (0.67, 1.18)",0.418,Exam 1
Clinical + D-dimer (log-z),4130,318,-0.14145958470705486,0.868090258998054,0.6524142295381192,1.1550647788611397,0.3316833427810068,-50.26003702473027,"0.87 (0.65, 1.16)",0.332,Exam 1
Clinical + all Exam 1 markers,4030,310,-0.1482837432129058,0.862186440680554,0.644792613871823,1.1528752695066922,0.31716395881795734,-57.50873856641275,"0.86 (0.64, 1.15)",0.317,Exam 1
Clinical only,3055,222,-0.14339542975785483,0.8664113962998419,0.6250538610581529,1.2009664357043335,0.38938242203980955,-0,"0.87 (0.63, 1.20)",0.389,Exam 4 forward
Clinical + CRP4 (log-z),239,19,-0.4022151696302168,0.6688368168357889,0.21120975237149275,2.1180020455125965,0.4940363079882202,-180.493716089431,"0.67 (0.21, 2.12)",0.494,Exam 4 forward
Clinical + FIB4 (z),247,19,-0.5049571651974576,0.6035314270228672,0.1888465055320245,1.9288161164437811,0.3943143708295735,-252.14313737205936,"0.60 (0.19, 1.93)",0.394,Exam 4 forward
Clinical + DDIMER4 (log-z),247,19,-0.4460539948467253,0.6401492063701917,0.2000119077160321,2.0488330474712986,0.45234585740144523,-211.06569825827495,"0.64 (0.20, 2.05)",0.452,Exam 4 forward
Clinical + ICAM4 (log-z),246,19,-0.09945870015426106,0.9053273389758634,0.2738566152057613,2.992871251553667,0.8704936170004861,30.64025797599524,"0.91 (0.27, 2.99)",0.87,Exam 4 forward
Clinical + all Exam 4 core markers,238,19,-0.3267779222687912,0.7212438974509773,0.20602052263043205,2.524956023645366,0.6092453524755861,-127.88586973839115,"0.72 (0.21, 2.52)",0.609,Exam 4 forward
Clinical + all immune phenotypes,130,6,-32.85567377098386,5.382229125347271e-15,3.357308509474108e-56,8628456478154843e11,0.4973127944407193,-22812.636634560607,"0.00 (0.00, 862845647815484340948697088.00)",0.497,Exam 4 forward
Clinical + core + immune phenotypes,44,2,28.207404829821606,1779591269202.9272,0,Inf,0.9999957314456746,19771.062653429148,"1779591269202.93 (0.00, Inf)",   1,Exam 4 forward
