model,biomarker,biomarker_label,n,events,hr,lcl,ucl,p_value
Air-adjusted (PM2.5 + NO2),z_log_crp1,CRP (log-z),6073,436,1.1350010641343313,1.017146049871746,1.2665117420929863,0.023580596459056653
Air-adjusted + geocode restriction,z_log_crp1,CRP (log-z),5562,405,1.1440580996695486,1.020969218634,1.281986676513806,0.02048804864991746
Main complete-case,z_log_crp1,CRP (log-z),6304,448,1.1385119188789932,1.023438891189599,1.2665234833150343,0.017026853273695162
Air-adjusted (PM2.5 + NO2),z_log_ddimer1,D-dimer (log-z),6073,436,1.141948590460945,1.0292458796289807,1.2669922795569681,0.01229048392805323
Air-adjusted + geocode restriction,z_log_ddimer1,D-dimer (log-z),5562,405,1.1664444174223112,1.0477657167292165,1.2985656594901789,0.004919409079003314
Main complete-case,z_log_ddimer1,D-dimer (log-z),6309,449,1.1750769556009864,1.062481072505617,1.299605129273663,0.0016937275058625857
Air-adjusted (PM2.5 + NO2),z_fib1,Fibrinogen (z),6073,436,1.138581728191211,1.0299446690287477,1.2586776656588536,0.011191942617318788
Air-adjusted + geocode restriction,z_fib1,Fibrinogen (z),5562,405,1.131584233383418,1.0182463803244401,1.257537372078791,0.021689017111451266
Main complete-case,z_fib1,Fibrinogen (z),6306,449,1.1285114469293482,1.0236669056248302,1.244094225233572,0.015093063942325367
Air-adjusted (PM2.5 + NO2),z_log_il61,IL-6 (log-z),6073,436,1.180519349380168,1.0584725534205857,1.3166387071231083,0.0028769207449886158
Air-adjusted + geocode restriction,z_log_il61,IL-6 (log-z),5562,405,1.1607689499710765,1.0366069603013206,1.2998027283410274,0.009798971364115968
Main complete-case,z_log_il61,IL-6 (log-z),6178,442,1.1992178743507165,1.0766054293935943,1.3357944061012992,9.624168091700708e-4
