biomarker,model,n,events,HR (95% CI),Wald P
CRP (log-z),Air-adjusted (PM2.5 + NO2),6073,436,"1.14 (1.02, 1.27)",0.0236
CRP (log-z),Air-adjusted + geocode restriction,5562,405,"1.14 (1.02, 1.28)",0.0205
CRP (log-z),Main complete-case,6304,448,"1.14 (1.02, 1.27)",0.017
D-dimer (log-z),Air-adjusted (PM2.5 + NO2),6073,436,"1.14 (1.03, 1.27)",0.0123
D-dimer (log-z),Air-adjusted + geocode restriction,5562,405,"1.17 (1.05, 1.30)",0.00492
D-dimer (log-z),Main complete-case,6309,449,"1.18 (1.06, 1.30)",0.00169
Fibrinogen (z),Air-adjusted (PM2.5 + NO2),6073,436,"1.14 (1.03, 1.26)",0.0112
Fibrinogen (z),Air-adjusted + geocode restriction,5562,405,"1.13 (1.02, 1.26)",0.0217
Fibrinogen (z),Main complete-case,6306,449,"1.13 (1.02, 1.24)",0.0151
IL-6 (log-z),Air-adjusted (PM2.5 + NO2),6073,436,"1.18 (1.06, 1.32)",0.00288
IL-6 (log-z),Air-adjusted + geocode restriction,5562,405,"1.16 (1.04, 1.30)",0.0098
IL-6 (log-z),Main complete-case,6178,442,"1.20 (1.08, 1.34)",0.000962
