biomarker,n,events,hr,lcl,ucl,p_value,biomarker_label,analysis
z_abbaspha4,607,34,1.2270365260258136,1.0049675793293464,1.4981763264505052,0.04457842524527689,ABBASPHA4 (z),Exam4-forward separate analysis
z_abeospha4,659,37,1.3336608446429226,0.9920728467697094,1.7928635526364256,0.05648887426042023,ABEOSPHA4 (z),Exam4-forward separate analysis
z_ablympha4,685,41,0.9092950603024005,0.6523273727215748,1.2674885973905725,0.5747085226276359,ABLYMPHA4 (z),Exam4-forward separate analysis
z_abmoncya4,685,41,1.2030203663934813,0.9322298286973221,1.5524690987198653,0.1554311850756255,ABMONCYA4 (z),Exam4-forward separate analysis
z_abneupha4,685,41,0.9382561213473178,0.6893680735227454,1.2770022039853965,0.6853040139788261,ABNEUPHA4 (z),Exam4-forward separate analysis
z_log_crp4,338,22,1.3114832247702501,0.7862440045442662,2.1876010995476376,0.29893174645430187,CRP4 (log-z),Exam4-forward separate analysis
z_log_ddimer4,350,22,0.7971928025053308,0.4302959001841326,1.476928699749062,0.4712514047507401,DDIMER4 (log-z),Exam4-forward separate analysis
z_epcbla4,669,37,0.8855712778656221,0.6178373575111902,1.2693251365370002,0.5082306417616805,EPCBLA4 (z),Exam4-forward separate analysis
z_epccd8la4,661,37,1.648671172474011,1.2726514332818792,2.1357903380797874,1.5344547080442262e-4,EPCCD8LA4 (z),Exam4-forward separate analysis
z_epccd8ma4,681,42,1.2825383236743912,0.9838664879332918,1.6718778125564586,0.06581020192784498,EPCCD8MA4 (z),Exam4-forward separate analysis
z_epccd8na4,681,42,1.0341048860687905,0.7536543486759167,1.4189169309115115,0.8354082329600626,EPCCD8NA4 (z),Exam4-forward separate analysis
z_epcwba4,280,18,2.6064976389628827,1.3118049385070039,5.17899402761153,0.006243558298898705,EPCWBA4 (z),Exam4-forward separate analysis
z_fib4,350,22,1.1463310991848181,0.6754466682080896,1.9454903707563138,0.612832841683202,FIB4 (z),Exam4-forward separate analysis
z_log_icam4,349,22,1.2644390305308824,0.6970895917391424,2.2935445900735325,0.43995452858517436,ICAM4 (log-z),Exam4-forward separate analysis
