biomarker,n,events,HR (95% CI),Wald P
ABBASPHA4 (z),607,34,"1.23 (1.00, 1.50)",0.0446
ABEOSPHA4 (z),659,37,"1.33 (0.99, 1.79)",0.0565
ABLYMPHA4 (z),685,41,"0.91 (0.65, 1.27)",0.575
ABMONCYA4 (z),685,41,"1.20 (0.93, 1.55)",0.155
ABNEUPHA4 (z),685,41,"0.94 (0.69, 1.28)",0.685
CRP4 (log-z),338,22,"1.31 (0.79, 2.19)",0.299
DDIMER4 (log-z),350,22,"0.80 (0.43, 1.48)",0.471
EPCBLA4 (z),669,37,"0.89 (0.62, 1.27)",0.508
EPCCD8LA4 (z),661,37,"1.65 (1.27, 2.14)",0.000153
EPCCD8MA4 (z),681,42,"1.28 (0.98, 1.67)",0.0658
EPCCD8NA4 (z),681,42,"1.03 (0.75, 1.42)",0.835
EPCWBA4 (z),280,18,"2.61 (1.31, 5.18)",0.00624
FIB4 (z),350,22,"1.15 (0.68, 1.95)",0.613
ICAM4 (log-z),349,22,"1.26 (0.70, 2.29)",0.44
