biomarker,n,events,Ref HR (95% CI),Ref Wald P,Interaction P,Holm P,BH q
ABBASPHA4 (z),607,34,"1.19 (0.96, 1.49)",0.114,0.844,   1,0.844
ABEOSPHA4 (z),659,37,"1.76 (1.25, 2.49)",0.00131,0.185,   1,0.311
ABLYMPHA4 (z),685,41,"1.18 (0.73, 1.89)",0.504,0.181,   1,0.311
ABMONCYA4 (z),685,41,"1.33 (1.01, 1.77)",0.0456,0.406,   1,0.517
ABNEUPHA4 (z),685,41,"0.72 (0.37, 1.38)",0.317,0.581,   1,0.677
CRP4 (log-z),338,22,"0.89 (0.41, 1.94)",0.767,0.0506,0.607,0.236
DDIMER4 (log-z),350,22,"2.21 (0.92, 5.29)",0.0746,4.91e-05,0.000687,0.000687
EPCBLA4 (z),669,37,"0.85 (0.44, 1.65)",0.63,0.789,   1,0.844
EPCCD8LA4 (z),661,37,"1.50 (1.01, 2.25)",0.0469,0.271,   1,0.379
EPCCD8MA4 (z),681,42,"1.37 (0.86, 2.20)",0.188,0.113,   1,0.311
EPCCD8NA4 (z),681,42,"0.92 (0.51, 1.66)",0.781, 0.2,   1,0.311
EPCWBA4 (z),280,18,"0.00 (0.00, 11132338526618.89)",0.383,0.153,   1,0.311
FIB4 (z),350,22,"0.43 (0.16, 1.16)",0.0966,0.00495,0.0644,0.0347
ICAM4 (log-z),349,22,"1.26 (0.44, 3.66)",0.668,0.0698,0.768,0.244
