model,time,td_auc,brier
M0_clinical,1856,0.7072383288761662,0.017026637567390104
M0_clinical,3653,0.7084017689008503,0.03572857626076412
M0_clinical,5479,0.7397372800147387,0.058434030455603324
M1_M0_plus_IL6,1856,0.6726582346781997,0.016424939753124725
M1_M0_plus_IL6,3653,0.6735215108050352,0.03461287655202741
M1_M0_plus_IL6,5479,0.7085702465069907,0.0570914691792365
M2_M0_plus_Ddimer,1856,0.7079539083238129,0.01702442785534506
M2_M0_plus_Ddimer,3653,0.7079750230558234,0.0357191741777473
M2_M0_plus_Ddimer,5479,0.7369356573578969,0.058200009559568715
M3_M0_plus_IL6_Ddimer,1856,0.6732990207569669,0.01642319695949694
M3_M0_plus_IL6_Ddimer,3653,0.6737016733399994,0.03460563120197803
M3_M0_plus_IL6_Ddimer,5479,0.706784382472763,0.056862815663850846
