model,term,chisq,df,p,global_p
additive__z_fib1,age1c,0.972127530666851,1,0.3241501514870499,0.4199200379700991
additive__z_fib1,bmi1c,0.004623562704109272,1,0.9457881939488695,0.4199200379700991
additive__z_fib1,cepgfr1c,0.024414970821154892,1,0.8758336753897651,0.4199200379700991
additive__z_fib1,chol1,0.06328541369077997,1,0.8013766010250366,0.4199200379700991
additive__z_fib1,cig1c,0.25070887957597876,1,0.6165763753092813,0.4199200379700991
additive__z_fib1,dm031c,2.9882549887084475,1,0.0838705033531894,0.4199200379700991
additive__z_fib1,educ1,0.666632358123448,1,0.4142281898867004,0.4199200379700991
additive__z_fib1,hdl1,0.5884296198044732,1,0.44302701826984003,0.4199200379700991
additive__z_fib1,htn1c,0.1098541884372489,1,0.7403102012661218,0.4199200379700991
additive__z_fib1,income1,0.7007750087196991,1,0.40252340257457825,0.4199200379700991
additive__z_fib1,ldl1,0.48943752693913534,1,0.4841783181128207,0.4199200379700991
additive__z_fib1,pkyrs1c,2.8493557483918095,1,0.09141056092471281,0.4199200379700991
additive__z_fib1,race_eth,2.4242577992023135,3,0.4891350157450668,0.4199200379700991
additive__z_fib1,sbp1c,0.6371100672174209,1,0.4247592251677347,0.4199200379700991
additive__z_fib1,sex,3.6204247343329516,1,0.057074300459421724,0.4199200379700991
additive__z_fib1,site_factor,2.7222585410291815,5,0.7427120440954238,0.4199200379700991
additive__z_fib1,trig1,0.02701050767287788,1,0.869456615916962,0.4199200379700991
additive__z_fib1,z_fib1,0.8829022843839103,1,0.34740799747600815,0.4199200379700991
additive__z_log_crp1,age1c,0.9890647173754022,1,0.31997107321246887,0.4601619104289112
additive__z_log_crp1,bmi1c,0.004907361237099433,1,0.9441518250993591,0.4601619104289112
additive__z_log_crp1,cepgfr1c,0.018076627948198042,1,0.8930472595033327,0.4601619104289112
additive__z_log_crp1,chol1,0.05773703118254392,1,0.8101090808049723,0.4601619104289112
additive__z_log_crp1,cig1c,0.28385981934244003,1,0.5941824424187064,0.4601619104289112
additive__z_log_crp1,dm031c,3.096654166173919,1,0.0784533801188592,0.4601619104289112
additive__z_log_crp1,educ1,0.6295707137304966,1,0.4275128226321205,0.4601619104289112
additive__z_log_crp1,hdl1,0.6613749226856089,1,0.416074963147475,0.4601619104289112
additive__z_log_crp1,htn1c,0.10571346293702807,1,0.7450780920523815,0.4601619104289112
additive__z_log_crp1,income1,0.6996573592945072,1,0.4028988504375481,0.4601619104289112
additive__z_log_crp1,ldl1,0.5203736546990034,1,0.4706823350555466,0.4601619104289112
additive__z_log_crp1,pkyrs1c,2.7511706907850106,1,0.09718324848587637,0.4601619104289112
additive__z_log_crp1,race_eth,2.2464943034587277,3,0.5228485952023436,0.4601619104289112
additive__z_log_crp1,sbp1c,0.7271562473612354,1,0.3938065152751347,0.4601619104289112
additive__z_log_crp1,sex,3.620292408188833,1,0.057078840179296646,0.4601619104289112
additive__z_log_crp1,site_factor,2.8128218655834956,5,0.7288160522286941,0.4601619104289112
additive__z_log_crp1,trig1,0.03786688370296074,1,0.8457106821534035,0.4601619104289112
additive__z_log_crp1,z_log_crp1,0.38748407319113193,1,0.5336248531171633,0.4601619104289112
additive__z_log_ddimer1,age1c,1.293907498430712,1,0.25532909531862885,0.42250324121223276
additive__z_log_ddimer1,bmi1c,0.0017155997985024531,1,0.9669612285464184,0.42250324121223276
additive__z_log_ddimer1,cepgfr1c,0.009083346271002279,1,0.9240713076974674,0.42250324121223276
additive__z_log_ddimer1,chol1,0.06400602247936858,1,0.800272760462776,0.42250324121223276
additive__z_log_ddimer1,cig1c,0.2659753164217776,1,0.6060444319662929,0.42250324121223276
